"Location","PASFR","Births"
"India",2.023,1097.345
"India",2.023,1769.859
"India",2.023,1835.049
"India",2.023,1873.774
"India",2.023,2368.809
"India",2.023,2455.411
"India",2.023,2481.195
"India",2.023,2546.018
"India",2.023,2741.085
"India",2.032,NA
"Denmark",2.05,6.979
"India",2.051,NA
"India",2.061,1236.887
"India",2.08,NA
"India",2.093,1945.004
"India",2.1,NA
"India",2.119,NA
"India",2.184,NA
"India",2.199,1069.79
"India",2.199,1867.612
"India",2.199,1952.995
"India",2.199,2000.101
"India",2.199,2606.473
"India",2.199,2702.582
"India",2.199,2738.445
"India",2.199,2826.183
"India",2.199,3094.657
"India",2.199,NA
"India",2.263,NA
"India",2.271,1293.594
"Denmark",2.28,5.891
"India",2.297,NA
"India",2.363,2224.204
"India",2.4,NA
"India",2.413,NA
"India",2.421,1189.843
"India",2.421,1297.968
"India",2.423,1085.456
"India",2.423,1969.78
"India",2.423,2075.463
"India",2.423,2131.854
"India",2.423,2848.503
"India",2.423,2951.047
"India",2.423,3000.054
"India",2.423,3109.302
"India",2.423,3382.461
"India",2.423,NA
"Denmark",2.44,9.577
"India",2.449,NA
"India",2.482,NA
"Denmark",2.489,9.256
"Denmark",2.546,7.484
"India",2.565,NA
"India",2.636,NA
"India",2.694,NA
"India",2.7,1128.176
"India",2.7,2074.107
"India",2.7,2201.674
"India",2.7,2268.343
"India",2.7,3110.426
"India",2.7,3218.622
"India",2.7,3281.779
"India",2.7,3416.447
"India",2.7,3642.221
"India",2.7,NA
"India",2.738,NA
"India",2.75,NA
"India",2.805,NA
"India",2.841,NA
"India",2.847,NA
"India",2.885,NA
"India",2.905,2765.738
"India",2.916,NA
"India",2.932,NA
"India",2.941,3873.392
"Denmark",2.952,9.897
"India",2.975,NA
"India",2.976,NA
"Denmark",2.988,8.522
"India",3.006,NA
"India",3.035,NA
"India",3.038,1168.383
"India",3.038,2220.171
"India",3.038,2376.646
"India",3.038,2455.888
"India",3.038,3457.344
"India",3.038,3574.98
"India",3.038,3654.75
"India",3.038,3826.977
"India",3.038,4074.504
"India",3.038,NA
"India",3.056,NA
"Denmark",3.072,12.206
"India",3.081,NA
"India",3.085,NA
"India",3.135,NA
"India",3.15,NA
"India",3.212,NA
"India",3.264,3072.454
"India",3.291,NA
"Denmark",3.342,10.886
"India",3.35,NA
